DATE;spread;share_prices;EXPINF10YR;DFF;cpi
2007-08-07;0.93;89.01146419354839;2.4746633935483873;5.26;-0.09455519756459409
2007-08-08;0.99;89.11059322580645;2.472137725806452;5.27;-0.0797493600405746
2007-08-09;1.04;89.20972225806452;2.4696120580645164;5.41;-0.06494352251655512
2007-08-10;1.01;89.30885129032258;2.467086390322581;4.68;-0.05013768499253564
2007-08-13;1.04;89.60623838709678;2.4595093870967744;4.81;-0.005720172420477183
2007-08-14;1.07;89.70536741935484;2.456983719354839;4.54;0.009085665103542301
2007-08-15;1.20;89.8044964516129;2.4544580516129035;4.71;0.023891502627561786
2007-08-16;1.24;89.90362548387097;2.451932383870968;4.97;0.03869734015158127
2007-08-17;1.23;90.00275451612903;2.4494067161290323;4.91;0.053503177675600755
2007-08-20;1.24;90.30014161290322;2.441829712903226;5.03;0.0979206902476592
2007-08-21;1.25;90.3992706451613;2.4393040451612906;4.89;0.11272652777167869
2007-08-22;1.24;90.49839967741936;2.436778377419355;4.77;0.12753236529569817
2007-08-23;1.21;90.59752870967742;2.4342527096774194;4.88;0.14233820281971765
2007-08-24;1.18;90.69665774193548;2.431727041935484;5.11;0.15714404034373713
2007-08-27;1.16;90.99404483870967;2.4241500387096777;5.27;0.2015615529157956
2007-08-28;1.23;91.09317387096773;2.4216243709677423;5.3;0.2163673904398151
2007-08-29;1.23;91.19230290322581;2.4190987032258064;5;0.23117322796383458
2007-08-30;1.25;91.29143193548387;2.416573035483871;5;0.24597906548785406
2007-08-31;1.22;91.39056096774193;2.4140473677419356;4.96;0.2607849030118735
2007-09-04;1.21;91.855674;2.4155749600000003;5.22;0.2694235797635154
2007-09-05;1.25;91.97766866666666;2.4169260466666667;5.18;0.2673678595060562
2007-09-06;1.23;92.09966333333332;2.4182771333333335;4.98;0.265312139248597
2007-09-07;1.28;92.22165799999999;2.4196282200000003;4.86;0.2632564189911378
2007-09-10;1.27;92.587642;2.42368148;5.07;0.2570892582187602
2007-09-11;1.25;92.70963666666667;2.4250325666666668;5.06;0.255033537961301
2007-09-12;1.25;92.83163133333333;2.4263836533333336;5.18;0.2529778177038418
2007-09-13;1.22;92.953626;2.42773474;5.09;0.2509220974463826
2007-09-14;1.22;93.07562066666667;2.429085826666667;5.25;0.2488663771889234
2007-09-17;1.20;93.44160466666666;2.433139086666667;5.33;0.2426992164165458
2007-09-18;1.23;93.56359933333333;2.4344901733333333;4.92;0.2406434961590866
2007-09-19;1.24;93.685594;2.43584126;4.74;0.2385877759016274
2007-09-20;1.19;93.80758866666666;2.4371923466666665;4.77;0.2365320556441682
2007-09-21;1.17;93.92958333333333;2.4385434333333333;4.76;0.234476335386709
2007-09-24;1.17;94.29556733333334;2.4425966933333334;4.74;0.2283091746143314
2007-09-25;1.18;94.417562;2.44394778;4.82;0.2262534543568722
2007-09-26;1.19;94.53955666666667;2.4452988666666666;4.88;0.22419773409941302
2007-09-27;1.18;94.66155133333334;2.4466499533333335;4.93;0.2221420138419538
2007-09-28;1.17;94.783546;2.44800104;4.58;0.2200862935844946
2007-10-01;1.16;95.14953;2.4520543;4.92;0.213919132812117
2007-10-02;1.17;95.01857870967741;2.449860783870968;4.78;0.2261785732808094
2007-10-03;1.17;94.88762741935484;2.4476672677419353;4.68;0.23843801374950177
2007-10-04;1.13;94.75667612903226;2.4454737516129033;4.74;0.25069745421819417
2007-10-05;1.13;94.62572483870967;2.4432802354838707;4.77;0.26295689468688654
2007-10-09;1.11;94.10191967741936;2.434506170967742;4.91;0.31199465656165615
2007-10-10;1.12;93.97096838709678;2.4323126548387095;4.52;0.3242540970303485
2007-10-11;1.13;93.84001709677419;2.4301191387096774;4.75;0.3365135374990409
2007-10-12;1.07;93.70906580645162;2.427925622580645;4.75;0.34877297796773327
2007-10-15;1.09;93.31621193548388;2.4213450741935483;4.81;0.38555129937381044
2007-10-16;1.12;93.18526064516129;2.419151558064516;4.68;0.39781073984250287
2007-10-17;1.10;93.05430935483871;2.4169580419354837;4.7;0.41007018031119524
2007-10-18;1.12;92.92335806451612;2.4147645258064516;4.69;0.4223296207798876
2007-10-19;1.14;92.79240677419355;2.412571009677419;4.77;0.43458906124858004
2007-10-22;1.14;92.39955290322581;2.4059904612903225;4.71;0.4713673826546572
2007-10-23;1.16;92.26860161290323;2.4037969451612904;4.67;0.4836268231233496
2007-10-24;1.15;92.13765032258064;2.401603429032258;4.74;0.49588626359204196
